,Company,Product Type,Production Year,Greenhouse Gas Emissions,Pollutants Emitted,Water Consumption,Energy Consumption,Waste Generation,Sales Revenue
1932,Urban Outfitters,Microfiber,2019,1908,10,6689,764,347,493616
1933,Nike,Linen,2019,3989,9,6749,978,198,481556
1934,Urban Outfitters,Polyester,2018,5366,24,7243,937,333,432397
1935,Nike,Organic Cotton,2018,4808,23,7361,1183,289,462964
1936,Nike,Wool,2020,2993,19,7011,1354,238,526693
1937,Adidas,Viscose,2021,4848,23,5423,1485,224,458701
1938,Urban Outfitters,Wool,2022,5140,20,7937,1142,172,577850
1939,Nike,Recycled Poly,2020,4738,23,5846,1471,288,598346
1940,Adidas,Polyester,2020,5948,13,6452,1049,288,585857
1941,Adidas,Viscose,2019,3486,21,4334,1129,178,551434
1942,Forever 21,Polyester,2022,2650,9,5043,1263,320,463175
1943,Adidas,Wool,2020,5807,12,5333,1449,245,563773
1944,Urban Outfitters,Tencel,2021,3594,20,7071,1117,326,447899
1945,Adidas,Wool,2021,3075,15,6933,700,279,448259
1946,Urban Outfitters,Recycled Poly,2018,4311,16,7095,1115,227,474852
1947,Forever 21,Wool,2018,3364,9,4066,731,225,451739
1948,Adidas,Recycled Poly,2018,2349,17,5853,821,258,513720
1949,Urban Outfitters,Polyester,2022,4259,19,5588,1083,203,499635
1950,Urban Outfitters,Viscose,2022,5719,10,6781,1203,158,551070
1951,Nike,Organic Cotton,2018,3895,24,7527,1092,342,561300
1952,Zara,Microfiber,2022,4675,24,4111,1089,159,547781
1953,Zara,Linen,2020,2554,11,5005,1441,333,585491
1954,Zara,Linen,2021,4563,16,6472,1180,158,504639
1955,Nike,Tencel,2021,3574,22,4388,710,325,453655
1956,Forever 21,Wool,2018,5947,23,4283,1214,196,541419
1957,Nike,Viscose,2021,2199,17,6398,820,328,555459
1958,Urban Outfitters,Recycled Poly,2021,4203,14,4163,997,303,506878
1959,Urban Outfitters,Nylon,2019,2429,15,5974,1197,213,421492
1960,Urban Outfitters,Wool,2019,4886,10,5238,887,207,509147
1961,Forever 21,Linen,2019,5442,12,4415,868,185,454602
1962,Forever 21,Viscose,2018,5388,24,5501,1415,260,425383
1963,Forever 21,Organic Cotton,2022,2671,22,5940,734,221,534371
1964,Forever 21,Microfiber,2018,2333,11,5076,1380,241,544420
1965,Urban Outfitters,Tencel,2019,2926,12,4098,865,172,569532
1966,Adidas,Wool,2019,5454,20,6282,969,272,437516
1967,Adidas,Viscose,2021,2749,10,4951,907,187,498733
1968,Adidas,Microfiber,2018,4846,10,6089,712,178,557511
1969,Nike,Viscose,2022,1872,18,7606,840,231,483878
1970,Urban Outfitters,Cotton,2019,5689,24,5960,919,175,465198
1971,Urban Outfitters,Tencel,2022,2380,13,6732,830,280,458116
1972,Zara,Linen,2022,2394,14,5011,1341,342,528398
1973,Nike,Cotton,2020,5129,10,7081,1142,160,504013
1974,Urban Outfitters,Polyester,2019,4861,21,5842,1320,207,453377
1975,Urban Outfitters,Viscose,2022,5130,14,4988,1313,283,495399
1976,Urban Outfitters,Nylon,2021,2053,22,4271,1275,171,458158
1977,Zara,Organic Cotton,2020,5021,17,5902,1365,237,499559
1978,Forever 21,Viscose,2020,4324,24,6094,1199,248,574549
1979,Forever 21,Wool,2022,2924,24,5380,793,327,548365
1980,Nike,Tencel,2022,2315,17,6576,974,219,495745
1981,Forever 21,Tencel,2019,4364,19,7715,945,294,470139
1982,Nike,Synthetic Blend,2019,4544,25,6769,1121,221,489182
1983,Forever 21,Microfiber,2019,2940,18,4778,1403,325,514761
1984,Forever 21,Tencel,2020,3474,23,6382,1232,194,450726
1985,Nike,Wool,2019,3485,19,4749,1363,277,518303
1986,Adidas,Microfiber,2021,4017,23,6201,1049,187,486774
1987,Forever 21,Nylon,2020,2819,21,7330,1263,250,420856
1988,Zara,Cotton,2020,5855,23,7828,1263,299,492637
1989,Forever 21,Viscose,2021,3431,17,4208,1137,310,548335
1990,Forever 21,Nylon,2021,5381,21,5282,822,185,467475
1991,Zara,Organic Cotton,2018,2136,11,5136,810,290,560305
1992,Nike,Recycled Poly,2018,5267,15,4163,1376,295,435697
1993,Zara,Nylon,2020,4070,18,5760,946,209,477786
1994,Forever 21,Viscose,2022,3985,20,7443,942,188,426017
1995,Forever 21,Viscose,2020,3601,14,7300,1092,202,562006
1996,Forever 21,Polyester,2019,2546,17,7315,1197,181,445082
1997,Adidas,Microfiber,2019,3782,23,6496,869,194,477761
1998,Nike,Nylon,2018,3756,18,5782,1293,303,521371
1999,Urban Outfitters,Cotton,2019,2622,11,5673,1429,263,536005
2000,Adidas,Microfiber,2022,4914,9,6217,1483,219,473773
2001,Urban Outfitters,Microfiber,2022,4604,19,4084,1211,279,581385
2002,Urban Outfitters,Linen,2022,3483,20,4591,1420,169,577536
2003,Urban Outfitters,Recycled Poly,2021,3496,15,5287,1061,253,491864
2004,Adidas,Synthetic Blend,2019,4908,24,7934,724,325,567668
2005,Adidas,Wool,2018,5504,9,5592,1285,238,514246
2006,Urban Outfitters,Polyester,2021,5374,23,7724,1134,172,534651
2007,Nike,Organic Cotton,2019,4004,20,7733,966,272,461444
2008,Adidas,Cotton,2022,3403,10,5562,1073,162,479920
2009,Zara,Recycled Poly,2018,2210,17,4324,1237,215,538777
2010,Adidas,Synthetic Blend,2019,5370,17,7567,890,208,527338
2011,Nike,Recycled Poly,2022,2347,16,7570,794,308,433669
2012,Forever 21,Wool,2019,4161,24,7858,1133,192,481930
2013,Zara,Cotton,2022,2431,11,7165,803,218,466853
2014,Forever 21,Nylon,2021,4822,14,4625,1246,197,484394
2015,Zara,Organic Cotton,2019,4030,25,7331,721,278,552254
2016,Zara,Microfiber,2019,3168,10,5921,859,183,483419
2017,Forever 21,Organic Cotton,2022,4087,23,5006,1165,194,448803
2018,Adidas,Recycled Poly,2022,2146,11,5545,839,150,495288
2019,Urban Outfitters,Tencel,2021,5035,21,7640,1237,269,589699
2020,Forever 21,Organic Cotton,2022,5119,17,6144,1117,192,551898
2021,Urban Outfitters,Recycled Poly,2018,3494,11,6456,1076,226,450287
2022,Forever 21,Microfiber,2021,4879,18,5530,724,230,547722
2023,Adidas,Polyester,2019,5367,13,5842,1304,344,456659
2024,Nike,Microfiber,2019,2965,9,7688,932,262,486301
2025,Urban Outfitters,Microfiber,2021,5610,20,7614,909,268,454187
2026,Urban Outfitters,Polyester,2019,2992,12,5210,1083,163,511895
2027,Urban Outfitters,Microfiber,2021,2439,18,5453,1224,291,545071
2028,Zara,Linen,2018,4687,19,4792,1017,279,463501
2029,Zara,Nylon,2019,4008,10,4101,1221,205,585327
2030,Forever 21,Organic Cotton,2018,5472,21,5368,1327,267,510944
2031,Forever 21,Organic Cotton,2020,4814,10,7281,1229,299,452321
2032,Urban Outfitters,Linen,2021,2096,25,4275,857,246,506547
2033,Urban Outfitters,Wool,2020,2979,13,7121,901,173,581709
2034,Urban Outfitters,Synthetic Blend,2021,3604,10,4180,1010,153,454849
2035,Adidas,Microfiber,2022,3386,22,7274,855,259,563407
2036,Forever 21,Synthetic Blend,2019,1804,11,4669,738,217,546527
2037,Zara,Cotton,2021,3156,24,4467,781,321,540483
2038,Nike,Viscose,2020,5641,17,6363,1271,290,506664
2039,Nike,Tencel,2019,4085,16,4926,722,261,546719
2040,Nike,Organic Cotton,2022,4262,24,7984,1441,253,433444
2041,Forever 21,Synthetic Blend,2020,2672,13,6273,928,350,477397
2042,Adidas,Linen,2019,2607,25,5486,1122,340,524818
2043,Urban Outfitters,Viscose,2020,4250,11,4993,866,309,546136
2044,Zara,Organic Cotton,2018,5368,21,7338,1142,189,528586
2045,Urban Outfitters,Polyester,2020,4834,12,5261,941,274,548938
2046,Urban Outfitters,Viscose,2019,5120,22,7479,940,223,483762
2047,Forever 21,Recycled Poly,2020,3104,19,6430,1085,171,446387
2048,Zara,Nylon,2018,3029,22,6017,794,328,589861
2049,Adidas,Polyester,2018,5660,14,4133,836,224,516145
2050,Nike,Wool,2022,2516,10,4676,1017,234,446206
2051,Zara,Viscose,2018,2123,9,7364,896,193,522462
2052,Urban Outfitters,Nylon,2020,4187,25,4293,1327,222,456337
2053,Zara,Linen,2022,3929,14,6635,1494,329,554975
2054,Zara,Linen,2022,3633,18,4131,1102,236,594328
2055,Adidas,Linen,2021,4738,25,5255,1000,317,525144
2056,Urban Outfitters,Cotton,2020,4475,15,4985,1172,188,460689
2057,Zara,Nylon,2018,2764,13,4441,1159,182,459145
2058,Zara,Synthetic Blend,2020,4421,16,6943,1193,261,527447
2059,Zara,Wool,2022,4278,15,7668,1184,317,428869
2060,Nike,Recycled Poly,2021,3368,20,4270,750,158,486107
2061,Urban Outfitters,Recycled Poly,2021,5597,21,7210,1426,232,537863
2062,Adidas,Organic Cotton,2021,4378,14,4030,868,214,528999
2063,Zara,Linen,2020,3013,10,7621,843,211,554423
2064,Forever 21,Linen,2020,3456,14,5711,739,347,422418
2065,Nike,Organic Cotton,2022,4855,19,4011,807,273,551354
2066,Adidas,Cotton,2019,4523,25,5120,1243,250,558604
2067,Forever 21,Viscose,2022,3411,22,7152,1448,160,539263
2068,Forever 21,Tencel,2020,5539,10,5165,1040,154,526780
2069,Forever 21,Wool,2018,5687,22,7805,1174,305,569919
2070,Adidas,Organic Cotton,2022,3625,23,5084,1007,316,430147
2071,Adidas,Wool,2022,3881,21,5086,704,285,480088
2072,Zara,Cotton,2021,3757,21,4009,1140,162,439950
2073,Nike,Tencel,2022,5214,9,6055,1450,346,587777
2074,Nike,Viscose,2018,5868,15,6187,1377,291,495381
2075,Zara,Cotton,2021,4491,14,6232,1371,201,423725
2076,Urban Outfitters,Nylon,2020,3811,24,4084,801,183,487683
2077,Adidas,Wool,2020,3906,22,4662,1136,202,462967
2078,Nike,Nylon,2020,4335,11,4312,859,181,420872
2079,Adidas,Nylon,2020,3266,12,7133,1162,236,451834
2080,Forever 21,Tencel,2021,5984,12,5971,1384,307,492954
2081,Zara,Organic Cotton,2018,4693,14,5588,893,289,485608
2082,Zara,Viscose,2018,2319,14,4597,1050,191,556861
2083,Forever 21,Cotton,2021,4678,9,5393,1098,343,533351
2084,Zara,Tencel,2021,3539,14,4778,1335,313,546726
2085,Forever 21,Nylon,2019,5849,23,5586,1029,314,516697
2086,Adidas,Polyester,2018,5510,15,4015,1284,240,424488
2087,Nike,Wool,2020,5204,9,7971,1022,268,442341
2088,Adidas,Nylon,2022,2754,13,5939,1206,291,564599
2089,Nike,Nylon,2022,2066,19,5007,1019,287,531579
2090,Nike,Polyester,2018,2249,18,6723,840,328,487706
2091,Urban Outfitters,Recycled Poly,2020,4584,22,4304,1243,243,439690
2092,Urban Outfitters,Synthetic Blend,2020,5133,9,4107,991,233,468437
2093,Zara,Recycled Poly,2022,2620,20,4464,797,217,507499
2094,Nike,Nylon,2019,3539,11,4948,750,220,501654
2095,Forever 21,Tencel,2018,4234,18,4411,1113,342,430679
2096,Nike,Microfiber,2018,4530,17,7035,753,185,438021
2097,Zara,Viscose,2018,2675,24,4174,1180,242,526427
2098,Forever 21,Nylon,2020,3100,16,4335,1042,193,468530
2099,Forever 21,Nylon,2018,5652,15,6984,1425,182,464399
2100,Forever 21,Cotton,2021,1843,25,7584,979,297,469165
2101,Urban Outfitters,Tencel,2019,2286,22,4864,1327,320,521827
2102,Adidas,Tencel,2020,4620,13,5656,1304,255,571606
2103,Nike,Synthetic Blend,2019,2821,22,5044,1363,304,550463
2104,Zara,Nylon,2021,3366,17,6831,831,297,468328
2105,Forever 21,Nylon,2019,2885,10,4945,955,340,432206
2106,Zara,Wool,2021,2889,15,5132,815,297,420738
2107,Adidas,Nylon,2018,5186,12,5398,911,264,457849
2108,Adidas,Wool,2018,4820,19,5683,1087,318,556017
2109,Nike,Linen,2019,2995,15,5594,1061,198,594550
2110,Adidas,Linen,2021,4043,22,4200,958,150,533585
2111,Urban Outfitters,Recycled Poly,2018,2288,23,6147,996,202,528371
2112,Zara,Synthetic Blend,2019,4121,17,4725,1136,346,423609
2113,Urban Outfitters,Tencel,2018,5522,20,5241,1359,207,537792
2114,Adidas,Synthetic Blend,2021,4999,17,4657,1191,206,534852
2115,Adidas,Polyester,2019,5780,21,4896,1264,280,588267
2116,Adidas,Nylon,2020,4837,25,5043,1406,175,491253
2117,Forever 21,Synthetic Blend,2021,1966,11,6323,809,211,494137
2118,Nike,Cotton,2022,3298,24,6164,703,188,425130
2119,Nike,Tencel,2021,4595,9,5970,898,197,448433
2120,Nike,Microfiber,2020,4027,15,6575,1111,321,577698
2121,Forever 21,Viscose,2020,2587,21,5932,1339,200,484194
2122,Nike,Polyester,2020,4723,24,7108,946,286,507406
2123,Urban Outfitters,Cotton,2021,1934,11,4422,1278,185,480635
2124,Urban Outfitters,Polyester,2019,5626,22,6191,1456,168,446899
2125,Forever 21,Linen,2019,3608,15,4894,1079,174,429598
2126,Nike,Polyester,2022,5151,12,5148,1358,300,537922
2127,Adidas,Nylon,2020,3739,12,4383,956,303,560742
2128,Adidas,Polyester,2021,4069,14,6692,1475,328,421666
2129,Urban Outfitters,Cotton,2021,4509,12,4363,1215,299,480117
2130,Forever 21,Synthetic Blend,2018,5298,20,7828,1065,342,538582
2131,Forever 21,Recycled Poly,2018,2598,9,6733,981,199,465106
2132,Adidas,Cotton,2018,3269,15,7388,914,200,454767
2133,Nike,Linen,2018,5482,16,6533,837,158,450900
2134,Adidas,Organic Cotton,2020,5337,13,6817,764,190,544185
2135,Urban Outfitters,Polyester,2019,4868,10,6183,879,325,530193
2136,Zara,Nylon,2019,3534,11,4629,1125,177,533932
2137,Adidas,Recycled Poly,2020,4503,23,4644,1308,286,593150
2138,Forever 21,Cotton,2021,5280,14,6502,1155,221,502766
2139,Nike,Viscose,2019,1964,15,5662,1002,246,560364
2140,Urban Outfitters,Nylon,2022,2744,13,7689,755,208,559865
2141,Zara,Tencel,2021,5032,13,4216,1230,196,561302
2142,Adidas,Recycled Poly,2019,2215,25,7515,1321,289,439443
2143,Adidas,Tencel,2022,2484,19,6150,1250,173,488067
2144,Nike,Organic Cotton,2022,2915,14,4180,1137,275,473818
2145,Adidas,Cotton,2018,3010,23,4292,1132,334,586161
2146,Forever 21,Nylon,2020,5575,14,6790,982,236,427853
2147,Zara,Polyester,2018,1998,9,4342,1030,192,586996
2148,Forever 21,Nylon,2018,3359,24,7903,800,262,561303
2149,Nike,Polyester,2022,2011,13,5447,1020,247,596207
2150,Zara,Tencel,2020,4193,17,4652,787,289,458782
2151,Forever 21,Wool,2022,5705,18,6011,1234,346,440081
2152,Adidas,Recycled Poly,2020,5907,10,5286,1088,270,430586
2153,Forever 21,Microfiber,2021,2015,10,6454,750,150,593549
2154,Nike,Cotton,2021,4629,19,4363,1070,335,555237
2155,Nike,Tencel,2019,5119,21,6306,825,210,528258
2156,Adidas,Synthetic Blend,2022,3666,19,5513,1377,162,515999
2157,Nike,Recycled Poly,2022,4874,10,6263,1431,160,583844
2158,Urban Outfitters,Polyester,2021,3503,16,5680,1316,307,566345
2159,Urban Outfitters,Viscose,2020,1939,25,4756,828,166,435915
2160,Nike,Polyester,2018,5008,17,7419,1241,181,565697
2161,Forever 21,Polyester,2020,3918,14,6242,1185,277,485277
2162,Forever 21,Cotton,2021,3337,25,6653,765,252,490202
2163,Adidas,Recycled Poly,2018,2959,21,6535,1394,225,464792
2164,Forever 21,Viscose,2020,5139,18,4649,721,212,530047
2165,Adidas,Organic Cotton,2022,5329,15,4426,1017,349,486020
2166,Zara,Linen,2018,4996,18,7872,1346,249,461070
2167,Nike,Organic Cotton,2020,2146,14,5651,934,334,597144
2168,Nike,Organic Cotton,2022,3331,18,4785,1446,155,595286
2169,Zara,Linen,2021,4320,22,7244,986,224,554474
2170,Forever 21,Tencel,2022,1984,16,6993,811,244,483292
2171,Forever 21,Tencel,2022,3261,17,5358,1442,184,542075
2172,Forever 21,Polyester,2020,2107,18,6813,1354,164,496382
2173,Adidas,Cotton,2019,3511,20,4795,1238,215,573910
2174,Nike,Nylon,2021,3617,13,7301,804,173,444792
2175,Forever 21,Linen,2022,5621,12,6229,749,305,472066
2176,Adidas,Viscose,2018,3421,24,4887,837,253,588828
2177,Nike,Cotton,2018,5131,10,6962,778,171,580399
2178,Forever 21,Linen,2020,4989,12,5891,1212,254,564847
2179,Forever 21,Polyester,2018,3314,15,7360,727,157,573640
2180,Zara,Organic Cotton,2021,2717,13,7430,1311,284,423439
2181,Adidas,Microfiber,2020,5668,24,5080,1446,222,576256
2182,Zara,Microfiber,2018,3550,21,5506,1324,238,455107
2183,Zara,Nylon,2020,2380,12,7566,1238,313,570740
2184,Nike,Nylon,2022,4194,16,4947,1106,285,545133
2185,Nike,Polyester,2022,2941,22,4797,874,335,461334
2186,Adidas,Viscose,2022,5943,13,4301,945,265,492094
2187,Nike,Organic Cotton,2021,2428,11,5045,737,328,497056
2188,Adidas,Tencel,2022,5136,10,7397,1075,311,425571
2189,Nike,Cotton,2021,5039,22,5783,1461,161,556141
2190,Zara,Nylon,2019,5294,9,7845,743,199,434519
2191,Forever 21,Cotton,2020,4999,21,7623,1322,172,427148
2192,Urban Outfitters,Recycled Poly,2021,2395,19,7851,1463,204,446200
2193,Adidas,Cotton,2020,4589,20,4213,1140,280,564255
2194,Adidas,Microfiber,2022,2691,24,6565,1196,258,567160
2195,Adidas,Viscose,2019,3960,18,7070,741,179,483465
2196,Nike,Tencel,2018,5465,15,5403,1005,210,545013
2197,Forever 21,Tencel,2019,5137,10,4868,939,315,518121
2198,Forever 21,Nylon,2018,2639,20,5849,1407,327,424732
2199,Forever 21,Polyester,2022,4816,11,7290,996,223,570493
2200,Adidas,Polyester,2021,3890,14,5650,1474,303,570152
2201,Forever 21,Wool,2021,4879,18,7400,1265,314,578508
2202,Forever 21,Wool,2021,2534,25,5210,848,287,515992
2203,Forever 21,Microfiber,2022,3833,13,5353,1278,176,497177
2204,Zara,Tencel,2020,3392,14,7647,894,177,468484
2205,Adidas,Synthetic Blend,2019,5321,21,6309,1273,164,526907
2206,Forever 21,Polyester,2022,5674,13,5630,1355,180,539847
2207,Urban Outfitters,Polyester,2021,3224,15,5267,1275,335,479797
2208,Forever 21,Viscose,2019,4468,20,6663,949,283,456312
2209,Forever 21,Polyester,2020,1825,20,7932,1117,319,450881
2210,Adidas,Viscose,2022,5356,19,4122,1262,350,458598
2211,Urban Outfitters,Viscose,2020,3001,22,6707,972,173,564340
2212,Urban Outfitters,Viscose,2021,4623,22,6581,774,205,423914
2213,Forever 21,Linen,2021,2604,13,7139,894,285,502233
2214,Forever 21,Organic Cotton,2018,3863,15,7183,973,252,561942
2215,Adidas,Cotton,2022,4345,25,5113,1341,160,427721
2216,Adidas,Linen,2019,1808,9,6734,1226,261,577389
2217,Urban Outfitters,Microfiber,2018,2251,12,7414,1481,249,552094
2218,Adidas,Nylon,2018,3383,19,7373,726,162,437359
2219,Urban Outfitters,Tencel,2018,4087,11,5200,1344,305,439179
2220,Nike,Polyester,2021,5140,14,7534,1344,283,471353
2221,Forever 21,Linen,2021,2976,10,6989,1077,206,587117
2222,Nike,Synthetic Blend,2018,5857,23,5813,1313,222,522429
2223,Adidas,Polyester,2021,2944,21,7125,1121,321,454086
2224,Forever 21,Recycled Poly,2020,1959,11,7055,1203,335,583942
2225,Urban Outfitters,Microfiber,2018,3118,11,7150,1496,217,425959
2226,Urban Outfitters,Tencel,2022,3952,11,7974,899,200,473127
2227,Urban Outfitters,Cotton,2018,2886,19,5465,1432,193,473115
2228,Nike,Microfiber,2018,5627,11,5901,710,202,463063
2229,Zara,Nylon,2022,3138,9,5555,815,206,530598
2230,Adidas,Tencel,2020,2884,23,6030,1259,296,510430
2231,Urban Outfitters,Nylon,2019,3587,23,4304,1383,289,497785
2232,Nike,Synthetic Blend,2022,2202,14,7541,1292,232,432526
2233,Adidas,Microfiber,2020,5980,10,7985,796,260,492192
2234,Nike,Polyester,2019,5500,15,6793,956,176,524427
2235,Urban Outfitters,Tencel,2018,2961,23,7034,1211,320,554582
2236,Adidas,Recycled Poly,2018,1914,14,6617,794,275,574401
2237,Forever 21,Recycled Poly,2018,3384,17,6127,1129,193,570082
2238,Forever 21,Organic Cotton,2021,5387,16,7104,1136,209,561389
2239,Adidas,Nylon,2022,3251,19,5672,729,236,480006
2240,Forever 21,Linen,2018,5837,22,5649,1397,180,538901
2241,Urban Outfitters,Polyester,2021,5867,16,7687,1114,282,458415
2242,Zara,Organic Cotton,2018,4881,13,4345,1374,193,467303
2243,Adidas,Wool,2020,4486,14,4353,1102,323,592898
2244,Nike,Polyester,2020,5464,12,6812,971,253,569273
2245,Adidas,Nylon,2022,3227,11,6337,842,233,568862
2246,Urban Outfitters,Linen,2022,2123,17,4963,1140,309,579635
2247,Forever 21,Synthetic Blend,2022,1932,14,4519,738,234,428889
2248,Forever 21,Cotton,2022,5348,17,6078,998,315,454075
2249,Nike,Viscose,2020,5995,11,6651,786,222,510906
2250,Urban Outfitters,Wool,2022,5957,23,7942,1469,159,591660
2251,Urban Outfitters,Nylon,2020,3266,16,7666,1257,252,537330
2252,Urban Outfitters,Linen,2019,3329,9,7825,1330,265,492063
2253,Urban Outfitters,Nylon,2022,2320,23,6027,1325,286,549098
2254,Urban Outfitters,Tencel,2019,5375,25,6036,1435,189,453944
2255,Nike,Tencel,2022,3406,24,7071,739,314,559497
2256,Nike,Wool,2022,1805,21,6635,890,324,583892
2257,Adidas,Organic Cotton,2018,4006,9,6717,1069,343,522276
2258,Urban Outfitters,Viscose,2020,5540,10,4125,1389,181,464019
2259,Nike,Tencel,2019,4606,20,5099,957,196,557254
2260,Urban Outfitters,Linen,2022,5028,15,4574,1061,306,497113
2261,Adidas,Wool,2019,2890,17,7233,1100,206,471004
2262,Forever 21,Viscose,2018,4586,21,4673,966,170,599429
2263,Nike,Recycled Poly,2022,4567,24,4728,1051,249,463956
2264,Forever 21,Recycled Poly,2021,3615,16,5406,1242,305,599945
2265,Nike,Nylon,2019,5932,12,6293,1427,250,516791
2266,Nike,Polyester,2021,3953,21,7889,1272,233,424097
2267,Forever 21,Organic Cotton,2021,4153,17,4918,707,199,500378
2268,Forever 21,Nylon,2022,2410,12,7743,1192,303,546942
2269,Adidas,Polyester,2019,4532,16,5102,738,172,515479
2270,Adidas,Microfiber,2020,2522,19,5202,1164,177,505660
2271,Nike,Cotton,2018,3574,14,5499,1334,204,529965
2272,Urban Outfitters,Tencel,2018,3750,22,5832,1024,161,424209
2273,Forever 21,Synthetic Blend,2019,2693,18,7892,1488,172,429225
2274,Nike,Recycled Poly,2021,4936,25,7882,824,328,575119
2275,Forever 21,Linen,2022,2292,13,7103,1189,151,491219
2276,Nike,Recycled Poly,2019,4653,21,4666,840,234,566120
2277,Urban Outfitters,Microfiber,2018,4457,25,5701,1472,265,561273
2278,Urban Outfitters,Synthetic Blend,2020,3172,13,6018,1423,236,553748
2279,Nike,Wool,2020,4581,22,7950,1072,231,580864
2280,Nike,Recycled Poly,2022,2855,18,7923,1329,180,441752
2281,Urban Outfitters,Organic Cotton,2018,2915,9,7614,740,160,460879
2282,Nike,Organic Cotton,2019,3701,11,7925,942,183,588466
2283,Zara,Organic Cotton,2020,2367,15,4022,1031,237,545967
2284,Zara,Tencel,2019,5287,14,6793,802,222,499498
2285,Nike,Tencel,2022,4938,21,6402,1334,333,548615
2286,Adidas,Linen,2019,5265,23,7681,1352,262,496721
2287,Urban Outfitters,Recycled Poly,2018,2862,20,7465,1227,339,463963
2288,Nike,Synthetic Blend,2019,2370,25,4894,877,331,562439
2289,Zara,Recycled Poly,2019,2315,13,4819,1321,186,589121
2290,Zara,Wool,2020,2558,10,5544,1456,152,443553
2291,Forever 21,Cotton,2021,3949,24,4655,908,333,564899
2292,Urban Outfitters,Organic Cotton,2018,3152,24,5654,1231,330,442830
2293,Urban Outfitters,Recycled Poly,2019,4667,24,5901,1028,216,515207
2294,Forever 21,Wool,2020,5763,13,5552,858,296,428570
2295,Nike,Recycled Poly,2022,2539,25,7345,1494,321,538901
2296,Urban Outfitters,Wool,2022,3775,12,5607,754,290,467619
2297,Urban Outfitters,Nylon,2021,3238,11,5872,1403,205,471988
2298,Urban Outfitters,Cotton,2022,3324,9,5334,886,194,460682
2299,Forever 21,Viscose,2022,3553,22,7610,875,175,531961
2300,Nike,Wool,2022,2417,18,4967,1266,290,457715
2301,Adidas,Recycled Poly,2020,4779,16,7233,1291,288,473264
2302,Nike,Tencel,2020,3985,22,4500,1200,335,588979
2303,Urban Outfitters,Linen,2019,3123,21,5187,953,155,569695
2304,Nike,Synthetic Blend,2020,5880,12,4739,1157,304,572637
2305,Urban Outfitters,Polyester,2019,3228,23,4286,865,164,506798
2306,Adidas,Wool,2022,5638,25,7730,1209,334,449494
2307,Adidas,Linen,2020,2932,25,4995,833,188,427360
2308,Zara,Recycled Poly,2020,5053,10,6244,892,194,429871
2309,Zara,Synthetic Blend,2022,5805,23,6124,1215,279,569139
2310,Urban Outfitters,Organic Cotton,2019,4849,25,5463,889,210,587097
2311,Forever 21,Microfiber,2018,2131,15,4071,984,227,481941
2312,Urban Outfitters,Wool,2018,4427,12,5885,768,238,462730
2313,Adidas,Viscose,2018,1987,13,6633,1291,192,573846
2314,Nike,Wool,2018,2557,18,4814,1189,220,591377
2315,Forever 21,Cotton,2018,3408,9,6361,1125,270,441665
2316,Adidas,Wool,2022,5894,11,6493,817,187,524285
2317,Zara,Wool,2019,3043,12,4848,861,180,540676
2318,Urban Outfitters,Linen,2019,2238,12,6481,1489,340,596537
2319,Zara,Nylon,2018,4934,21,4428,832,196,430971
2320,Zara,Viscose,2018,5457,13,6961,1051,319,558714
2321,Urban Outfitters,Cotton,2019,3553,10,5202,1285,199,533101
2322,Urban Outfitters,Organic Cotton,2019,1909,14,5865,1366,320,499027
2323,Forever 21,Nylon,2019,4110,14,4411,792,222,425953
2324,Forever 21,Wool,2021,2951,19,7521,708,297,594305
2325,Nike,Recycled Poly,2019,4148,21,4527,717,301,470765
2326,Nike,Organic Cotton,2021,2340,9,7298,919,333,594837
2327,Forever 21,Viscose,2020,2850,24,7373,717,348,445472
2328,Adidas,Linen,2018,2962,17,4781,1134,241,564099
2329,Nike,Tencel,2020,4973,18,7123,833,204,427088
2330,Nike,Nylon,2019,2010,13,5973,755,258,452273
2331,Nike,Viscose,2019,5726,16,6283,1206,221,435809
2332,Adidas,Viscose,2022,2303,23,6944,1438,171,533042
2333,Urban Outfitters,Viscose,2018,5177,16,4532,829,222,559210
2334,Zara,Organic Cotton,2020,3938,14,7390,1400,311,588307
2335,Zara,Cotton,2020,2065,16,4240,827,154,581516
2336,Nike,Microfiber,2021,5498,20,5733,1015,309,437008
2337,Nike,Linen,2022,4651,20,5167,1135,194,484512
2338,Nike,Linen,2018,2921,17,5891,1144,150,448982
2339,Zara,Tencel,2018,2770,25,4502,739,203,426984
2340,Urban Outfitters,Tencel,2019,2622,23,5632,982,345,443587
2341,Urban Outfitters,Recycled Poly,2021,2149,9,6117,799,336,595687
2342,Nike,Linen,2018,3013,9,7557,1437,177,509841
2343,Zara,Linen,2018,3401,25,4173,1118,265,446651
2344,Adidas,Polyester,2021,3677,19,4326,748,223,514665
2345,Forever 21,Synthetic Blend,2021,4259,15,7281,1110,194,449938
2346,Adidas,Polyester,2018,5364,14,5429,1244,285,597305
2347,Nike,Linen,2021,5318,17,6032,730,202,451587
2348,Forever 21,Polyester,2020,3429,15,6486,1112,190,535206
2349,Nike,Microfiber,2021,5378,13,4323,1061,299,436796
2350,Forever 21,Cotton,2019,5691,9,4131,758,218,525639
2351,Urban Outfitters,Microfiber,2018,4344,19,6567,1303,156,437776
2352,Zara,Polyester,2021,5778,23,4509,958,159,425150
2353,Nike,Viscose,2019,2356,17,6351,703,230,485350
